iso3,name,Time,enrolment_primary_female,enrolment_lower-secondary_female,enrolment_upper-secondary_female,enrolment_upper-secondary_male,enrolment_primary_male,enrolment_lower-secondary_male,primary_female,primary_male,lower-secondary_female,lower-secondary_male,upper-secondary_female,upper-secondary_male,region,academic_break,closed,open,partially_closed,tv,radio,internet
SYC,Seychelles,2019.0,4678.0,2167.0,1535.0,1388.0,4705.0,2235.0,4678.0,4705.0,2167.0,2235.0,2499.0,2598.0,Eastern and Southern Africa,30.0,12.0,148.0,45.0,True,True,True
SLE,Sierra Leone,2017.0,750664.0,156525.0,85034.0,94187.0,736275.0,156394.0,750664.0,736275.0,266349.0,266949.0,321924.0,322250.0,West and Central Africa,68.0,53.0,100.0,14.0,False,True,False
SGP,Singapore,2018.0,114062.0,38441.0,42776.0,45189.0,119491.0,40303.0,114062.0,119491.0,38441.0,40303.0,42776.0,45189.0,East Asia and Pacific,50.0,19.0,128.0,38.0,False,False,True
SVK,Slovakia,2018.0,111837.0,123233.0,93477.0,94242.0,117619.0,131000.0,112351.0,117777.0,130971.0,137619.0,104803.0,110341.0,Western Europe,63.0,51.0,28.0,93.0,True,False,True
SVN,Slovenia,2018.0,62631.0,26475.0,45484.0,46982.0,66492.0,28062.0,62631.0,66492.0,26858.0,28517.0,45484.0,46982.0,Western Europe,58.0,83.0,55.0,39.0,True,False,True
ZAF,South Africa,2018.0,3671331.0,1004788.0,1501344.0,1390500.0,3897056.0,982328.0,3800943.0,3879665.0,1004788.0,982328.0,1437234.0,1456350.0,Eastern and Southern Africa,46.0,54.0,95.0,40.0,True,True,True
SSD,South Sudan,2015.0,520739.0,39433.0,17179.0,39302.0,753113.0,68221.0,862423.0,882821.0,256736.0,262101.0,481504.0,490441.0,Eastern and Southern Africa,21.0,141.0,9.0,64.0,False,True,False
ESP,Spain,2018.0,1482264.0,800669.0,853853.0,854930.0,1561132.0,861617.0,1482264.0,1561132.0,800669.0,861617.0,853853.0,854930.0,Western Europe,54.0,50.0,106.0,25.0,True,False,True
LKA,Sri Lanka,2018.0,849494.0,689950.0,704451.0,635512.0,875930.0,698052.0,849494.0,875930.0,689950.0,698052.0,704451.0,635512.0,South Asia,15.0,141.0,42.0,37.0,True,False,True
SDN,Sudan,2018.0,2433942.0,537185.0,568412.0,539474.0,2684198.0,571191.0,3197398.0,3285125.0,987518.0,1012822.0,1398789.0,1433099.0,Eastern and Southern Africa,146.0,86.0,3.0,0.0,False,False,False
SUR,Suriname,2015.0,34833.0,20522.0,9673.0,5696.0,37088.0,18830.0,34833.0,37088.0,19596.0,21108.0,14469.0,15464.0,Latin America and Caribbean,69.0,99.0,67.0,0.0,True,False,False
SWE,Sweden,2018.0,438196.0,187522.0,281591.0,270694.0,455299.0,194734.0,438196.0,455299.0,187522.0,194734.0,281591.0,270694.0,Western Europe,48.0,0.0,115.0,72.0,False,False,True
CHE,Switzerland,2018.0,249953.0,124891.0,164895.0,187852.0,264711.0,131240.0,249953.0,264711.0,124891.0,131240.0,164895.0,187852.0,Western Europe,52.0,29.0,152.0,2.0,False,False,True
TZA,"Tanzania, United Republic of",2019.0,5304648.0,1139596.0,65773.0,87647.0,5300782.0,1045441.0,5309703.0,5428124.0,2514353.0,2552936.0,1110014.0,1121695.0,Eastern and Southern Africa,31.0,52.0,132.0,20.0,True,True,False
THA,Thailand,2019.0,2376233.0,1423040.0,1461374.0,1501675.0,2522843.0,1633140.0,2376233.0,2522843.0,1423040.0,1633140.0,1461374.0,1501675.0,East Asia and Pacific,54.0,64.0,97.0,20.0,True,False,True
TLS,Timor-Leste,2019.0,100332.0,45847.0,37537.0,34011.0,106180.0,44265.0,100332.0,106180.0,46054.0,47422.0,46059.0,47279.0,East Asia and Pacific,22.0,56.0,157.0,0.0,True,False,True
